City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Raton,US,2022-04-03 23:52:52,36.9034,-104.4391,57.81,31,100,14.97
239,Arraial Do Cabo,BR,2022-04-03 23:52:52,-22.9661,-42.0278,76.86,86,11,6.51
240,Torbay,CA,2022-04-03 23:51:50,47.6666,-52.7314,36.57,86,40,20.71
241,Nogales,MX,2022-04-03 23:50:40,31.3086,-110.9422,78.37,11,0,10.36
242,Hambantota,LK,2022-04-03 23:52:53,6.1241,81.1185,77.92,85,21,2.28
243,Killybegs,IE,2022-04-03 23:52:54,54.6333,-8.45,49.91,96,100,18.28
244,Bengkulu,ID,2022-04-03 23:52:54,-3.8004,102.2655,76.06,82,91,4.54
245,Kitimat,CA,2022-04-03 23:52:54,54.0524,-128.6534,44.98,63,90,1.99
246,Cherskiy,RU,2022-04-03 23:48:19,68.75,161.3,0.52,88,100,4.56
247,Mount Gambier,AU,2022-04-03 23:51:20,-37.8333,140.7667,57.11,88,100,6.91
248,Churachandpur,IN,2022-04-03 23:52:55,24.3333,93.6667,61.29,92,41,1.43
249,Gulu,UG,2022-04-03 23:52:56,2.7746,32.299,69.49,59,80,0.34
250,Cavalcante,BR,2022-04-03 23:52:56,-13.7975,-47.4583,72.32,55,35,1.86
251,Port Blair,IN,2022-04-03 23:52:57,11.6667,92.75,78.84,78,20,3.44
252,Fort Nelson,CA,2022-04-03 23:51:50,58.8053,-122.7002,36.99,48,75,10.36
253,Vila Velha,BR,2022-04-03 23:52:57,-20.3297,-40.2925,82.35,84,40,2.3
254,Victoria,HK,2022-04-03 23:51:03,22.2855,114.1577,69.24,51,0,10.0
255,Santona,ES,2022-04-03 23:52:58,43.4439,-3.4576,42.6,72,99,7.45
256,Kautokeino,NO,2022-04-03 23:52:58,69.0125,23.0412,10.94,95,97,7.52
257,Najran,SA,2022-04-03 23:52:59,17.4924,44.1277,65.05,17,34,0.56
258,Vetlanda,SE,2022-04-03 23:49:49,57.4289,15.0776,35.29,97,100,9.46
259,Buluang,PH,2022-04-03 23:52:59,13.3068,123.3425,81.07,74,60,5.06
260,Vila Franca Do Campo,PT,2022-04-03 23:53:00,37.7167,-25.4333,57.61,71,31,13.31
261,Nha Trang,VN,2022-04-03 23:49:54,12.25,109.1833,77.0,87,100,8.86
262,Amahai,ID,2022-04-03 23:53:01,-3.3333,128.9167,82.33,73,77,2.13
263,Vostok,RU,2022-04-03 23:52:07,46.4856,135.8833,43.9,65,0,7.34
264,Kalachinsk,RU,2022-04-03 23:53:01,55.0529,74.5751,33.3,98,100,8.14
265,Taoudenni,ML,2022-04-03 23:53:02,22.6783,-3.9836,83.97,10,0,8.08
266,Fortuna,US,2022-04-03 23:53:02,40.5982,-124.1573,58.93,70,20,11.5
267,Mnogovershinnyy,RU,2022-04-03 23:53:03,53.9353,139.9242,33.66,99,99,4.45
268,Flin Flon,CA,2022-04-03 23:53:03,54.7682,-101.865,39.04,60,75,9.22
269,Natal,BR,2022-04-03 23:53:04,-5.795,-35.2094,75.85,100,100,6.91
270,Pasighat,IN,2022-04-03 23:53:04,28.0667,95.3333,67.3,96,100,3.94
271,Santa Maria,BR,2022-04-03 23:53:05,-29.6842,-53.8069,63.7,100,100,5.75
272,San Patricio,US,2022-04-03 23:53:05,28.017,-97.5169,81.54,63,0,14.74
273,Straumen,NO,2022-04-03 23:53:06,63.8709,11.2999,30.2,95,100,3.36
274,Zlatoust,RU,2022-04-03 23:54:06,55.1711,59.6508,35.56,92,100,4.38
275,San Quintin,MX,2022-04-03 23:54:06,30.4833,-115.95,62.37,64,10,14.34
276,George Town,MY,2022-04-03 23:49:49,5.4112,100.3354,76.95,94,20,0.0
277,Clyde River,CA,2022-04-03 23:50:37,70.4692,-68.5914,7.03,85,0,9.22
278,Araguaina,BR,2022-04-03 23:54:07,-7.1911,-48.2072,75.42,91,86,3.33
279,Nuuk,GL,2022-04-03 23:54:08,64.1835,-51.7216,24.6,83,2,6.71
280,Omboue,GA,2022-04-03 23:54:08,-1.5746,9.2618,77.05,90,92,1.68
281,Casma,CL,2022-04-03 23:54:09,-41.0082,-73.1244,51.08,85,95,2.39
282,Tautira,PF,2022-04-03 23:54:09,-17.7333,-149.15,82.26,72,33,12.73
283,Victorville,US,2022-04-03 23:54:10,34.5361,-117.2912,77.11,32,100,11.01
284,Turukhansk,RU,2022-04-03 23:54:11,65.8167,87.9833,-3.5,98,37,5.79
285,Kayasula,RU,2022-04-03 23:54:11,44.325,45.0,53.42,68,91,20.24
286,Sibu,MY,2022-04-03 23:54:12,2.3,111.8167,75.51,94,40,3.44
287,Zhigansk,RU,2022-04-03 23:54:12,66.7697,123.3711,3.88,86,77,12.53
288,Winnemucca,US,2022-04-03 23:54:13,40.973,-117.7357,64.45,12,0,5.75
289,Tiznit,MA,2022-04-03 23:54:13,29.5833,-9.5,58.68,59,25,3.53
290,Oudtshoorn,ZA,2022-04-03 23:54:14,-33.5907,22.2014,55.76,86,36,2.19
291,Helong,CN,2022-04-03 23:54:14,42.5397,128.9972,51.08,34,4,6.96
292,Northam,GB,2022-04-03 23:54:14,51.0333,-4.2167,46.62,76,75,14.47
293,Scarborough,GB,2022-04-03 23:54:15,54.2797,-0.4044,43.34,88,100,11.01
294,Barabinsk,RU,2022-04-03 23:54:15,55.3571,78.357,33.1,100,100,7.07
